HIP,Radeg,Dedeg,Hpmag
2487,7.88898332,-62.96545002,4.5529
2497,7.92171239,52.83955844,5.7599
2505,7.94299141,54.52232512,4.7078
2548,8.09897895,6.95545464,5.698
2568,8.14750357,20.29443334,5.5464
2578,8.18247604,-63.03137879,5.092
2583,8.2045405,28.28022576,6.427
2599,8.24994382,62.93178764,4.2103
2611,8.29301468,54.8950805,6.093
2628,8.33001503,70.98184745,6.419
2629,8.3467727,-71.26621472,6.1872
2661,8.42108793,-29.55820678,5.7087
2707,8.60369322,66.75035215,6.4624
2711,8.61506278,-52.37318304,5.6755
2762,8.81100423,-3.59275792,5.3209
2787,8.88645728,-0.50545896,6.0422
2789,8.88881603,-54.82174824,6.2062
2802,8.92139522,-48.00066056,5.6144
2832,8.97867168,13.20750232,6.4348
2852,9.02876075,-22.84221066,6.139
2854,9.03453122,54.16845377,5.0536
2865,9.08370066,27.25479141,6.4899
2876,9.11392499,60.32621718,5.8676
2900,9.1936294,44.48850967,5.2561
2903,9.1971321,15.23175966,5.8347
2912,9.22016213,33.71935253,4.3098
2920,9.24277909,53.89693155,3.6112
2926,9.28000604,24.01424834,6.3527
2941,9.33244949,-24.76722636,5.7134
2942,9.33844201,35.39951042,5.5949
3031,9.6395805,29.31236894,4.4994
3083,9.79119578,49.35459519,5.564
3092,9.83165586,30.86122597,3.4328
3093,9.84206096,21.25137382,6.03
3137,9.96631195,-44.79633329,6.1735
3138,9.9814748,21.43856443,5.5468
3170,10.10273302,-59.45568119,6.0187
3179,10.1266135,56.53740925,2.4107
3185,10.13501595,-23.80399322,6.2788
3193,10.17658831,-4.35180548,6.0652
3231,10.27998083,39.45867139,5.4579
3245,10.33156671,-46.08500948,4.7591
3269,10.3998969,24.62906485,6.1388
3277,10.44292462,-56.50145473,5.7683
3299,10.51431595,66.147613,5.9967
3300,10.51618413,50.51254141,4.7665
3330,10.61790459,-65.46813007,5.494
3334,10.62920576,58.75343109,6.1864
3352,10.67349878,-60.26268187,6.1494
3356,10.67870832,-38.46346744,6.0529
3405,10.83851629,-57.46309771,4.37
3414,10.86704476,47.02463659,5.0087
3419,10.89678447,-17.98668407,2.2061
3436,10.958702,-12.01130748,6.1805
3455,11.04752268,-10.60927381,4.9349
3456,11.04964722,-38.42197917,6.0722
3478,11.10927619,47.86396289,5.6246
3489,11.13134774,-62.49760585,6.166
3504,11.18125896,48.28438233,4.4631
3505,11.18515532,-22.00633244,5.3047
3521,11.23801503,-42.67632502,6.0117
3527,11.24883541,-53.71490029,6.2656
3544,11.32168135,55.2214086,5.4258
3552,11.35043382,-4.62925145,6.244
3559,11.36961329,-12.88030971,6.2783
3572,11.4129632,74.98812638,5.677
3583,11.43930826,-47.55217594,5.9251
3604,11.54499508,44.86150817,6.0177
3607,11.54845525,-22.52206723,5.6612
3632,11.63740007,15.47561225,5.38
3641,11.65929249,69.32537139,6.4903
3675,11.75594363,11.97393476,5.6735
3685,11.80650083,19.57868596,6.1824
3693,11.83495919,24.26737676,4.2487
3697,11.8484305,6.74098085,6.1423
3717,11.93000742,-18.06142241,5.8552
3721,11.94174807,74.8475875,5.4062
3741,12.00437915,-21.72247474,5.5593
3750,12.03698195,72.6744576,6.0254
3760,12.07226888,7.2999198,6.0874
3765,12.09388796,5.2833888,5.8775
3781,12.14632698,-74.92335367,5.2343
3786,12.17039763,7.58520178,4.5555
3801,12.20830552,50.96819151,4.8742
3807,12.23640327,-46.69769836,6.4372
3810,12.24462417,16.94113366,5.1781
3821,12.27125307,57.81654753,3.5835
3834,12.30791007,-24.13652672,6.0644
3849,12.35647368,-13.56101721,5.7503
3858,12.38932379,-23.36210935,6.3272
3881,12.45345727,41.07895471,4.4853
3885,12.47128716,27.71031153,5.6451
3909,12.53218464,-10.64377032,5.281
3919,12.57589021,45.00224092,6.1499
3949,12.67136694,-50.98692401,5.3218
3951,12.68155211,64.24758081,5.4654
3965,12.73860932,51.50803349,6.4536
3988,12.81827325,61.80549806,6.1253
4023,12.89079544,51.57145309,6.2398
4104,13.16917039,-24.00592582,5.6191
4147,13.25204352,-1.14422074,4.8864
4151,13.26783044,61.12355714,4.9069
4185,13.36756308,37.41831726,6.2296
4200,13.40741154,-62.87135328,5.6532
4212,13.44802907,52.68934457,6.3329
4257,13.57326191,-8.74054638,6.3136
4267,13.6467499,19.1884358,5.7989
4283,13.71984574,83.70746148,5.6279
4288,13.7417494,23.62844589,5.6173
4292,13.75080475,58.97279667,4.9892
4293,13.75124752,-69.52697872,5.6126
4298,13.77176739,48.67854812,6.3431
4317,13.81107317,24.55709604,6.2121
4346,13.92668412,-7.34703982,5.9961
4363,13.98137348,-27.77582719,6.1993
4366,13.99384289,27.20935401,6.1299
4371,14.00627568,-11.26650675,5.4752
4383,14.05386153,57.99659575,6.3505
4422,14.16671041,59.1811659,4.7838
4427,14.17708782,60.71674955,2.1379
4436,14.18790714,38.49925521,3.9034
4440,14.19558681,60.36284788,5.5488
4446,14.22911973,68.77574207,6.4761
4463,14.30178257,23.41775993,4.5603
4501,14.41514922,45.83939486,6.2692
4510,14.45895161,28.99223558,5.6103
4520,14.47714748,13.69587935,6.4566
4552,14.55914303,33.95105921,6.16
4558,14.57874159,21.40450313,6.4906
4563,14.59240992,-60.69629551,6.2737
4572,14.62916143,66.35182537,5.9731
4577,14.65144096,-29.35746422,4.2628
4587,14.68286522,-11.37993902,5.7802
4655,14.95697867,6.48323787,6.209
4675,15.01477976,44.71330475,5.6834
4709,15.12861421,70.98300451,6.45
4770,15.32593932,-38.91664883,5.7493
4829,15.50755781,-57.00242938,6.2707
4852,15.60990706,-31.55204216,5.5405
4879,15.67872753,-65.45611104,6.3135
4889,15.70452754,31.80433662,5.4945
4890,15.70496554,-46.39733799,5.5481
4903,15.72614981,41.34519894,6.0028
4906,15.73606599,7.89007267,4.4267
4914,15.76085294,-4.83635034,5.5696
4932,15.82401809,-29.52577061,6.4367
4962,15.90419818,61.07482979,6.0251
4979,15.95398632,1.36694535,6.1312
4998,16.00995051,52.50230931,6.1269
5021,16.08145365,61.58024412,5.9575
5034,16.11487399,29.65909842,6.2975
5074,16.21925134,5.6563014,6.1597
5081,16.27229772,14.94600348,5.735
5121,16.40375283,-9.97923966,6.2598
5131,16.42053076,21.47321626,5.3425
5132,16.42365763,21.46547295,5.5192
5141,16.4550923,4.90866175,6.4428
5164,16.52137503,-9.83936868,5.5908
5165,16.52128448,-46.71849569,3.4646
5170,16.53220752,-23.99236898,6.2836
5175,16.54664913,32.18154225,6.4336
5204,16.64007707,12.95597354,6.2996
5251,16.7893399,53.49819321,6.4362
5259,16.80364896,-23.99625635,6.4286
5268,16.82738591,-61.77526175,5.5032
5296,16.94216787,-9.78559181,5.8131
5300,16.94927584,-41.48693712,5.2617
5310,16.98795739,20.73932084,5.6084
5317,17.00299439,43.94224104,5.0821
5319,17.00501788,32.0121921,6.3213
5336,17.05383814,54.92422782,5.2898
5346,17.09309886,5.65022118,5.5927
5348,17.09608393,-55.2458325,3.9219
5361,17.13936551,58.2634795,5.7762
5364,17.14693207,-10.18192793,3.6235
5372,17.18399738,86.25711805,4.4059
5412,17.30122042,80.01167669,6.3995
5434,17.3755089,47.2418245,4.235
5447,17.43249023,35.62083036,2.1741
5454,17.45501983,19.65838529,5.7069
5483,17.54762041,15.67397125,6.1879
5493,17.57853007,42.08157675,5.7972
5494,17.581039,25.45803971,5.9332
5510,17.63982235,2.44570808,6.0926
5518,17.66360611,68.77868757,5.3204
5542,17.77471147,55.14994759,4.3873
5544,17.77822205,31.4247655,5.225
5550,17.79287107,37.72413836,5.7691
5566,17.85631894,64.20272388,5.5482
5571,17.86330916,21.03467563,4.8317
5586,17.91494441,30.08972944,4.6751
5589,17.92237012,65.01888508,5.5562
5594,17.93142747,-2.25102463,6.0748
5626,18.06878974,79.67397513,5.6135
5650,18.14192225,45.33747991,6.2109
5661,18.18902944,-37.85640387,6.0233
5679,18.24774623,30.0643076,6.3888
5688,18.29090581,61.70620372,6.3947
5737,18.43250842,7.57548938,5.2849
5742,18.43722969,24.58376439,4.834
5743,18.43822822,7.57838236,6.4273
5772,18.52027213,28.52970552,6.395
5778,18.53186778,16.13354221,5.9444
5799,18.59986256,-7.92350028,5.2444
5824,18.67666618,6.99519663,6.2076
5833,18.70491854,-0.97429414,5.7987
5862,18.7940318,-45.53209714,5.0854
5896,18.93956338,-68.87623707,4.9639
5926,19.04959118,71.74384579,5.9673
5928,19.05252431,87.14554511,6.3642
5936,19.07875989,33.11480712,6.2053
5947,19.12932562,79.90986962,6.3658
5951,19.15144454,-2.50021268,5.5765
5992,19.26533875,-66.39789063,6.2573
5993,19.27105877,44.90209028,6.2275
6061,19.44993347,3.61452053,5.1732
6087,19.54225761,47.41971623,6.4362
6093,19.55788406,57.8031687,6.2998
6193,19.8665742,27.2640869,4.7736
6226,19.95121746,-0.50899515,6.0071
6242,20.02049032,58.23161618,5.1132
6261,20.08104639,77.57046492,6.4743
6272,20.11599019,-11.23881508,6.3244
6283,20.14405486,-3.24700003,6.4163
6312,20.27160585,64.65818828,6.372
6315,20.28064153,28.73839002,5.3776
6378,20.49558011,76.23888755,6.445
6411,20.58497105,45.52875641,5.0399
6427,20.62715361,-19.08104943,6.4586
6432,20.65381199,1.72644133,6.3289
6486,20.8386347,58.14321415,6.4597
6492,20.85396905,20.46898994,6.0763
6502,20.87903354,-30.94550602,5.9239
6512,20.90546608,34.24560126,6.4286
6514,20.91898228,37.7149903,5.6691
6522,20.94506565,78.72604824,6.1598
6537,21.00604673,-8.18275392,3.7757
6539,21.0101387,-8.00725259,6.2821
6564,21.08535371,-6.91466892,6.0119
6589,21.16631093,-15.66041929,6.3371
6592,21.16988856,-41.49245871,5.5784
6595,21.1746774,-44.52852823,6.4274
6605,21.20281088,-2.84852182,6.3263
6631,21.27198214,-64.36943615,6.0274
6669,21.39856854,23.51157322,6.2851
6670,21.40503868,-14.59875443,5.0612
6685,21.44292759,70.97992146,6.3502
6686,21.45251246,60.23540367,2.7146
6692,21.48293395,68.12994732,4.8899
6702,21.5359087,34.57990688,6.4536
6706,21.56366122,19.17232091,5.4375
6711,21.57749579,43.45788624,6.0921
6732,21.67352947,19.24056465,5.6657
6748,21.71481849,-13.05653364,5.5926
6759,21.74208418,-32.54310053,6.4116
6776,21.77589513,34.37757828,6.3698
6794,21.86110567,41.10109789,6.4937
6813,21.91285482,45.40695276,4.9223
6822,21.94348581,-10.90162046,6.2781
6867,22.09142395,-43.31772907,3.5329
6868,22.09520586,7.96137396,6.3873
6952,22.37723884,-46.75646219,6.2757
6960,22.4004177,-21.62934675,5.1255
6981,22.47011292,18.35567543,6.0708
6999,22.52542518,47.00737701,5.4338
7007,22.54559633,6.14393327,4.9799
7016,22.59531977,-26.20785467,6.0814
7050,22.71671757,66.09811439,6.176
7078,22.80632756,70.26478888,5.93
7083,22.81242304,-49.07307705,4.0987
7097,22.87080767,15.34583101,3.7914
7115,22.91256439,-45.57572368,6.1908
7118,22.93021489,-30.28292502,5.9572
7147,23.0315983,34.79997547,6.3546
7189,23.1516354,-49.72753419,6.3716
7213,23.23355084,-36.86518188,5.6515
7243,23.32611277,8.20881488,6.4752
7251,23.35711613,58.32734509,5.8247
7271,23.41359163,-78.50448596,6.2724
7276,23.42805469,-7.02514281,5.886
7294,23.48302533,59.23209666,4.8477
7321,23.56915513,37.23719744,5.8861
7345,23.65717241,-15.67635289,5.6475
7359,23.7043642,18.46067231,5.9918
7361,23.71180141,-31.89221431,6.2803
7387,23.8112896,-58.13939415,6.1162
7436,23.94350185,14.66144112,6.222
7447,23.97777199,17.43378986,6.0199
7450,23.99565515,-15.40021578,5.5783
